Nome;Negozio;Prezzo;Quantita;Tipologia
PRODOTTO_05;Milano;1589;952;Libri
PRODOTTO_04;Lucca;8950;513;Abbigliamento
PRODOTTO_02;Lucca;1590;57;Cancelleria
PRODOTTO_05;Roma;1589;344;Elettronica
PRODOTTO_04;Milano;8950;279;Abbigliamento
PRODOTTO_01;Lucca;2219;830;Cancelleria
PRODOTTO_05;Milano;1589;357;Abbigliamento
PRODOTTO_04;Treviso;8950;341;Elettronica
PRODOTTO_03;Firenze;450;357;Abbigliamento
PRODOTTO_03;Lucca;450;569;Libri
PRODOTTO_01;Roma;2219;497;Cancelleria
PRODOTTO_03;Milano;450;805;Elettronica
PRODOTTO_03;Lucca;450;295;Abbigliamento
PRODOTTO_04;Firenze;8950;200;Abbigliamento
PRODOTTO_03;Lucca;450;444;Cancelleria
PRODOTTO_05;Treviso;1589;166;Abbigliamento
PRODOTTO_02;Lucca;1590;950;Abbigliamento
PRODOTTO_03;Lucca;450;829;Abbigliamento
PRODOTTO_05;Napoli;1589;307;Libri
PRODOTTO_04;Lucca;8950;151;Abbigliamento
PRODOTTO_03;Roma;450;941;Cancelleria
PRODOTTO_04;Lucca;8950;999;Abbigliamento
PRODOTTO_01;Firenze;2219;946;Elettronica
PRODOTTO_03;Napoli;450;876;Cancelleria
PRODOTTO_02;Treviso;1590;381;Cancelleria
PRODOTTO_04;Roma;8950;214;Cancelleria
PRODOTTO_03;Treviso;450;571;Abbigliamento
PRODOTTO_02;Milano;1590;697;Libri
PRODOTTO_01;Lucca;2219;749;Elettronica
PRODOTTO_04;Firenze;8950;970;Abbigliamento
PRODOTTO_01;Treviso;2219;694;Abbigliamento
PRODOTTO_02;Firenze;1590;814;Cancelleria
PRODOTTO_01;Milano;2219;672;Abbigliamento
PRODOTTO_05;Milano;1589;550;Abbigliamento
PRODOTTO_03;Milano;450;191;Cancelleria
PRODOTTO_02;Treviso;1590;773;Libri
PRODOTTO_05;Lucca;1589;323;Abbigliamento
PRODOTTO_04;Napoli;8950;632;Libri
PRODOTTO_03;Lucca;450;432;Libri
PRODOTTO_05;Lucca;1589;623;Cancelleria
PRODOTTO_04;Lucca;8950;226;Libri
PRODOTTO_04;Roma;8950;63;Elettronica
PRODOTTO_02;Milano;1590;415;Libri
PRODOTTO_03;Roma;450;340;Elettronica
PRODOTTO_04;Treviso;8950;38;Libri
PRODOTTO_04;Roma;8950;486;Abbigliamento
PRODOTTO_04;Lucca;8950;953;Cancelleria
PRODOTTO_05;Treviso;1589;96;Elettronica
PRODOTTO_03;Lucca;450;300;Elettronica
PRODOTTO_05;Lucca;1589;106;Elettronica
PRODOTTO_03;Roma;450;559;Abbigliamento
PRODOTTO_03;Milano;450;685;Abbigliamento
PRODOTTO_01;Roma;2219;371;Elettronica
PRODOTTO_03;Napoli;450;285;Libri
PRODOTTO_01;Roma;2219;880;Elettronica
PRODOTTO_04;Lucca;8950;853;Cancelleria
PRODOTTO_01;Napoli;2219;743;Cancelleria
PRODOTTO_01;Roma;2219;110;Abbigliamento
PRODOTTO_03;Roma;450;456;Cancelleria
PRODOTTO_02;Roma;1590;513;Elettronica
PRODOTTO_04;Roma;8950;300;Elettronica
PRODOTTO_01;Milano;2219;579;Abbigliamento
PRODOTTO_04;Roma;8950;11;Libri
PRODOTTO_05;Lucca;1589;305;Cancelleria
PRODOTTO_01;Treviso;2219;887;Abbigliamento
PRODOTTO_01;Milano;2219;563;Abbigliamento
PRODOTTO_03;Treviso;450;559;Cancelleria
PRODOTTO_03;Roma;450;396;Abbigliamento
PRODOTTO_03;Roma;450;27;Elettronica
PRODOTTO_02;Milano;1590;248;Elettronica
PRODOTTO_02;Milano;1590;395;Cancelleria
PRODOTTO_05;Lucca;1589;718;Libri
PRODOTTO_05;Firenze;1589;962;Abbigliamento
PRODOTTO_04;Firenze;8950;746;Cancelleria
PRODOTTO_02;Napoli;1590;179;Elettronica
PRODOTTO_05;Milano;1589;141;Libri
PRODOTTO_03;Roma;450;463;Abbigliamento
PRODOTTO_01;Firenze;2219;503;Cancelleria
